sub_corpus	tier	path	accepted	entries	committed	memo_hits	lr_entries	lr_committed
uvm-core	breadth	stimuli/sv/uvm/uvm-core-2020.3.1/src/reg/uvm_reg_block.svh	no	532	40	162	0	0
uvm-core	breadth	stimuli/sv/uvm/uvm-core-2020.3.1/src/seq/uvm_sequencer_base.svh	no	1249	41	482	18	0
verible	breadth	stimuli/sv/subs/verible/verible/verilog/tools/kythe/testdata/array.sv	yes	39215	1609	16571	945	0
verible	breadth	stimuli/sv/subs/verible/verible/verilog/tools/kythe/testdata/function_and_task.sv	yes	13937	573	5750	263	0
verible	breadth	stimuli/sv/subs/verible/verible/verilog/tools/kythe/testdata/include_with_dir_test/include_dir/D.svh	yes	1601	138	649	22	0
verible	breadth	stimuli/sv/subs/verible/verible/verilog/tools/kythe/testdata/multi_file_test/multi-file-3.sv	yes	13080	1416	5385	210	0
verible	breadth	stimuli/sv/subs/verible/verible/verilog/tools/kythe/testdata/union.sv	yes	25873	1515	10546	478	0
verible	breadth	stimuli/sv/subs/verible/verible/verilog/tools/lint/testdata/explicit_task_lifetime.sv	yes	1711	34	655	13	0
verible	breadth	stimuli/sv/subs/verible/verible/verilog/tools/lint/testdata/localparam_type_name_style.sv	yes	1640	53	588	0	0
verible	breadth	stimuli/sv/subs/verible/verible/verilog/tools/lint/testdata/proper_parameter_declaration.sv	yes	2693	69	1037	22	0
verilator	breadth	stimuli/sv/subs/verilator/test_regress/t/t_EXAMPLE.v	no	23323	32	9949	598	0
verilator	lr	stimuli/sv/subs/verilator/test_regress/t/t_case_huge_sub3.v	yes	1381586	55083	608530	41042	0
verilator	hot	stimuli/sv/subs/verilator/test_regress/t/t_case_write1_tasks.v	yes	8756144	522256	4226003	298480	0
verilator	breadth	stimuli/sv/subs/verilator/test_regress/t/t_class_uses_this.v	no	41680	1218	17347	859	0
verilator	lr	stimuli/sv/subs/verilator/test_regress/t/t_dfg_bin_to_one_hot.v	no	1127826	17	512903	40671	0
verilator	breadth	stimuli/sv/subs/verilator/test_regress/t/t_dpi_open_query.v	no	117790	84	47601	2520	0
verilator	lr	stimuli/sv/subs/verilator/test_regress/t/t_func_crc.v	yes	1416308	33367	646552	46979	0
verilator	breadth	stimuli/sv/subs/verilator/test_regress/t/t_gen_class.v	no	44315	301	18706	792	0
verilator	breadth	stimuli/sv/subs/verilator/test_regress/t/t_lint_edge_real_bad.v	yes	14705	468	5857	196	0
verilator	lr	stimuli/sv/subs/verilator/test_regress/t/t_math_concat64.v	no	1044740	9	479495	38149	0
verilator	hot	stimuli/sv/subs/verilator/test_regress/t/t_math_synmul_mul.v	yes	22671850	1834087	10754901	748251	0
verilator	hot	stimuli/sv/subs/verilator/test_regress/t/t_math_wallace_mul.v	yes	2444966	207558	1089238	77961	0
verilator	breadth	stimuli/sv/subs/verilator/test_regress/t/t_order_dpi_export_8.v	yes	33433	1231	13917	683	0
verilator	breadth	stimuli/sv/subs/verilator/test_regress/t/t_randomize_randmode_subobj.v	no	32281	1107	13640	729	0
verilator	breadth	stimuli/sv/subs/verilator/test_regress/t/t_timing_initial_always.v	yes	19348	570	7956	350	0
