class	suite	relpath	verdict	stuck_tick	furthest	stuck	surface	first_tick	last_tick	fail_line	first_tick_line	bytes	snippet
macro_use	verilator	test_regress/t/t_struct_portsel.v	STUCK-ON-SVPP-TOKEN	ifdef	772	773	203	773	1485	35	35	2186	(posedge clk) begin `ifdef TEST_VERBOSE $write("[%0t] cyc==%0d crc=%x result
macro_use	verilator	test_regress/t/t_struct_unpacked.v	STUCK-ON-SVPP-TOKEN	checkp	1310	1315	858	231	1492	54	8	1579	r.m_s = "str1"; `checkp(istr, "'{m_i:'hc, m_s:\"str1\"}"); istr = '{m_i
macro_use	verilator	test_regress/t/t_struct_unpacked_init.v	STUCK-ON-SVPP-TOKEN	checkh	739	744	434	226	947	26	8	1039	splay("%p", s); `checkh(s.m_lo, 4'h5); `checkh(s.m_mid, ~94'h0); `ch
macro_use	verilator	test_regress/t/t_struct_unpacked_init_param.v	STUCK-ON-SVPP-TOKEN	checkh	755	760	434	226	840	28	8	930	initial begin `checkh(S.m_hi, 4'h6); `checkh(S_HI, 4'h6); `checkh
macro_use	verilator	test_regress/t/t_struct_unpacked_param.v	STUCK-ON-SVPP-TOKEN	checkd	1320	1325	434	228	1492	53	8	1579	initial begin `checkd(MY_STRUCT.a, 10); `checkd(MY_STRUCT.b, 5); `
macro_use	verilator	test_regress/t/t_struct_with_param_class.v	STUCK-ON-SVPP-TOKEN	checkh	1722	1726	1342	537	2262	52	14	2356	class parameter `checkh($bits(tf_struct), 32'd1); `checkh($bits(tf_union
macro_use	verilator	test_regress/t/t_structu_wide.v	STUCK-ON-SVPP-TOKEN	WIDE_WIDTH	280	280	247	197	464	12	7	566	ypedef struct {bit [`WIDE_WIDTH-1:0] data;} wide_t; logic [`WIDE_WIDTH-1:0] l
macro_use	verilator	test_regress/t/t_sys_file_basic.v	STUCK-ON-SVPP-TOKEN	ifdef	1318	1320	868	226	10535	40	8	10644	ned [16:0] scan17; `ifdef TEST_VERBOSE `define verbose 1'b1 `else `define ver
macro_use	verilator	test_regress/t/t_sys_file_basic_mcd.v	STUCK-ON-SVPP-TOKEN	define	440	441	431	226	4039	13	8	4065	rmat: on module t; `define STR(__s) `"__s`" task automatic fail(string s);
macro_use	verilator	test_regress/t/t_sys_file_basic_uz.v	STUCK-ON-SVPP-TOKEN	define	480	481	432	226	3877	15	8	3909	out_txt, fdout_bin; `define STRINGIFY(x) `"x`" // // task automatic test1
macro_use	verilator	test_regress/t/t_sys_file_eof.v	STUCK-ON-SVPP-TOKEN	checkd	537	542	431	226	759	20	8	843	t-exist", "r"); `checkd(f, 0); i = $fscanf(f, "check %d", j); `check
macro_use	verilator	test_regress/t/t_sys_file_null.v	STUCK-ON-SVPP-TOKEN	STRINGIFY	293	293	231	203	304	12	7	561	in fd = $fopen({`STRINGIFY(`TEST_OBJ_DIR), "/zeros.log"}, "w"); for (cnt
macro_use	verilator	test_regress/t/t_sys_file_scan.v	STUCK-ON-SVPP-TOKEN	STRINGIFY	378	378	231	203	740	15	7	982	outfile = $fopen({`STRINGIFY(`TEST_OBJ_DIR), "/t_sys_file_scan_test.log"}, "w"
macro_use	verilator	test_regress/t/t_sys_file_scan2.v	STUCK-ON-SVPP-TOKEN	checkd	792	797	595	226	1092	23	8	1181	, "%s", fname); `checkd(f_stat, 1); `checks(fname, "vec"); f_stat =
macro_use	verilator	test_regress/t/t_sys_file_zero.v	STUCK-ON-SVPP-TOKEN	checkd	707	712	431	226	976	27	8	1093	i = $fgetc(0); `checkd(i, -1); i = $ungetc(0, 0); `checkd(i, -1);
macro_use	verilator	test_regress/t/t_sys_fmonitor.v	STUCK-ON-SVPP-TOKEN	STRINGIFY	394	394	231	203	405	20	7	1288	fd = $fopen({`STRINGIFY(`TEST_OBJ_DIR), "/open.log"}, "w"); end e
macro_use	verilator	test_regress/t/t_sys_fread.v	STUCK-ON-SVPP-TOKEN	STRINGIFY	1386	1386	532	226	3309	46	8	3518	file = $fopen({`STRINGIFY(`TEST_OBJ_DIR), "/t_sys_fread.mem"}, "r"); if
macro_use	verilator	test_regress/t/t_sys_fstrobe.v	STUCK-ON-SVPP-TOKEN	STRINGIFY	394	394	231	203	405	20	7	1174	fd = $fopen({`STRINGIFY(`TEST_OBJ_DIR), "/open.log"}, "w"); end e
macro_use	verilator	test_regress/t/t_sys_queue_unsup.v	STUCK-ON-SVPP-TOKEN	checkd	703	708	575	338	4385	23	12	4474	1, 3, status); `checkd(status, 0); $q_initialize(2, 2, 2, status);
macro_use	verilator	test_regress/t/t_sys_random.v	STUCK-ON-SVPP-TOKEN	define	293	297	203	297	587	15	15	854	0; integer i; `define TRIES 20 initial begin // There's a 1^32 chan
macro_use	verilator	test_regress/t/t_sys_random_concat.v	STUCK-ON-SVPP-TOKEN	define	441	445	432	226	1737	14	8	1833	t: on module t; `define TRIES 100 bit [6:0] b5a; // We use larger than [
macro_use	verilator	test_regress/t/t_sys_readmem.v	STUCK-ON-SVPP-TOKEN	ifdef	905	907	585	226	8816	34	8	8945	15]; string fns; `ifdef WRITEMEM_READ_BACK reg [5:0] binary_string_tmp[2:15
macro_use	verilator	test_regress/t/t_sys_readmem_4state.v	STUCK-ON-SVPP-TOKEN	STRINGIFY	398	398	231	203	574	16	7	697	B); $writememh({`STRINGIFY(`TEST_OBJ_DIR), "/t_sys_readmem_4state_b.mem"}, M
macro_use	verilator	test_regress/t/t_sys_readmem_assoc.v	STUCK-ON-SVPP-TOKEN	STRINGIFY	670	670	231	203	965	27	7	1135	; $writememh({`STRINGIFY(`TEST_OBJ_DIR), "/t_sys_writemem_c_b.mem"}, assoc
macro_use	verilator	test_regress/t/t_sys_readmem_eof.v	STUCK-ON-SVPP-TOKEN	STRINGIFY	521	521	460	226	654	16	8	745	egin $readmemh({`STRINGIFY(`TEST_OBJ_DIR), "/dat.mem"}, rom); `checkh(ro
macro_use	verilator	test_regress/t/t_sys_sformat.v	STUCK-ON-SVPP-TOKEN	checks	1232	1237	520	226	3775	51	8	3905	", n, q, wide); `checks(str, "n=1100 q= 1311768467750060323 w=hello-there123
